stream_key,reported_at,form_url,verification,registered_form,UDA,UPA,rejected,po_total_valid,total_cast_form,reviewer_a,reviewer_b,notes,ocr_confidence,ocr_route,source_sha256,source_page
040-0196-001-01,,../data/public/elections/banissa-2025/forms/uploaded/8ba7438afeaaef9a.pdf#page=1,HUMAN,484,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.236; source=data/public/elections/banissa-2025/forms/009040019600101/v1_8ba7438afeaa.pdf; page=1,0.2355,QUARANTINE,8ba7438afeaaef9a84a915f973c9a4f8fc391853473808002fa9fe198f68a5df,1
040-0196-001-02,,../data/public/elections/banissa-2025/forms/uploaded/e49a988ee1a22e33.pdf#page=1,HUMAN,,2,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.260; source=data/public/elections/banissa-2025/forms/009040019600102/v1_e49a988ee1a2.pdf; page=1,0.2600,QUARANTINE,e49a988ee1a22e3372799ebe614493e70dc5426d0f68bc14b27374a593a12c19,1
040-0196-002-01,,../data/public/elections/banissa-2025/forms/uploaded/896e98d644fcc280.pdf#page=1,HUMAN,74,6,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.314; source=data/public/elections/banissa-2025/forms/009040019600201/v1_896e98d644fc.pdf; page=1,0.3137,QUARANTINE,896e98d644fcc2806d89607a98b03f48f88607788942e9b2db57f62a2d04d454,1
040-0196-002-02,,../data/public/elections/banissa-2025/forms/uploaded/23fad44f980b89bd.pdf#page=1,HUMAN,672,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.244; source=data/public/elections/banissa-2025/forms/009040019600202/v1_23fad44f980b.pdf; page=1,0.2439,QUARANTINE,23fad44f980b89bd168ef27549b4ad25613f23636cdc4899545b88cab65827dc,1
040-0196-003-02,,../data/public/elections/banissa-2025/forms/uploaded/ecf71c5bbaac94bd.pdf#page=1,HUMAN,643,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019600301/v1_ecf71c5bbaac.pdf; page=1,0.2339,QUARANTINE,ecf71c5bbaac94bd1f9e386cb1bc32bcf2ffd1ea7fdfaa62be865c1b8156473e,1
040-0196-003-03,,../data/public/elections/banissa-2025/forms/uploaded/d07b9f35c47b9ce9.pdf#page=1,HUMAN,6,7800,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019600303/v1_d07b9f35c47b.pdf; page=1,0.2856,QUARANTINE,d07b9f35c47b9ce9eebca8a1ecbb807ced0d5d101154092ea1ebf9b0afca10af,1
040-0196-003-04,,../data/public/elections/banissa-2025/forms/uploaded/5824d681b61bf131.pdf#page=1,HUMAN,2,1,2,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.411; source=data/public/elections/banissa-2025/forms/009040019600304/v1_5824d681b61b.pdf; page=1,0.4105,QUARANTINE,5824d681b61bf1313eb094ffcad8bc2195813b1471f307e7a5c9cac404f86914,1
040-0196-003-05,,../data/public/elections/banissa-2025/forms/uploaded/8e3af80565e0afcd.pdf#page=1,HUMAN,,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.260; source=data/public/elections/banissa-2025/forms/009040019600305/v1_8e3af80565e0.pdf; page=1,0.2600,QUARANTINE,8e3af80565e0afcd792d10f9d04f1d409b7690871a72f345e30bc767d643a5c1,1
040-0196-004-01,,../data/public/elections/banissa-2025/forms/uploaded/1b652429da019408.pdf#page=1,HUMAN,578,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019600401/v1_1b652429da01.pdf; page=1,0.2339,QUARANTINE,1b652429da0194084ad1f5e0f2a4eed88cf1f3525a0fa66dc37d94f1cdd2c40b,1
040-0196-004-02,,../data/public/elections/banissa-2025/forms/uploaded/02fbde30884416fc.pdf#page=1,HUMAN,578,1,2,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019600402/v1_02fbde308844.pdf; page=1,0.2339,QUARANTINE,02fbde30884416fc5734f0e1e13f95604d18a7af4e9bd85f4d8080d08cc11d54,1
040-0196-005-01,,../data/public/elections/banissa-2025/forms/uploaded/3bc92f931330a1cd.pdf#page=1,HUMAN,216,82,2,,5,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.332; source=data/public/elections/banissa-2025/forms/009040019600501/v1_3bc92f931330.pdf; page=1,0.3323,QUARANTINE,3bc92f931330a1cd938e263bf3e213cd5e610e9d1bf6a93c562706c9fdf12206,1
