stream_key,reported_at,form_url,verification,registered_form,UDA,UPA,rejected,po_total_valid,total_cast_form,reviewer_a,reviewer_b,notes
040-0196-001-01,,,HUMAN,484,,,,,,,,
040-0196-001-02,,,HUMAN,483,,,,,,,,
040-0196-002-01,,,HUMAN,673,,,,,,,,
040-0196-002-02,,,HUMAN,672,,,,,,,,
040-0196-003-01,,,HUMAN,643,,,,,,,,
040-0196-003-02,,,HUMAN,643,,,,,,,,
040-0196-003-03,,,HUMAN,642,,,,,,,,
040-0196-003-04,,,HUMAN,642,,,,,,,,
040-0196-003-05,,,HUMAN,642,,,,,,,,
040-0196-004-01,,,HUMAN,578,,,,,,,,
040-0196-004-02,,,HUMAN,578,,,,,,,,
040-0196-005-01,,,HUMAN,216,,,,,,,,
040-0196-006-01,,,HUMAN,75,,,,,,,,
040-0196-007-01,,,HUMAN,516,,,,,,,,
040-0196-007-02,,,HUMAN,515,,,,,,,,
040-0196-007-03,,,HUMAN,515,,,,,,,,
040-0196-008-01,,,HUMAN,120,,,,,,,,
040-0196-039-01,,,HUMAN,558,,,,,,,,
040-0196-039-02,,,HUMAN,558,,,,,,,,
040-0196-040-01,,,HUMAN,46,,,,,,,,
040-0196-041-01,,,HUMAN,99,,,,,,,,
040-0197-009-01,,,HUMAN,658,,,,,,,,
040-0197-009-02,,,HUMAN,658,,,,,,,,
040-0197-010-01,,,HUMAN,630,,,,,,,,
040-0197-010-02,,,HUMAN,630,,,,,,,,
040-0197-010-03,,,HUMAN,629,,,,,,,,
040-0197-011-01,,,HUMAN,400,,,,,,,,
040-0197-012-01,,,HUMAN,559,,,,,,,,
040-0197-013-01,,,HUMAN,530,,,,,,,,
040-0197-014-01,,,HUMAN,559,,,,,,,,
040-0197-014-02,,,HUMAN,559,,,,,,,,
040-0197-014-03,,,HUMAN,559,,,,,,,,
040-0197-042-01,,,HUMAN,72,,,,,,,,
040-0197-043-01,,,HUMAN,472,,,,,,,,
040-0197-044-01,,,HUMAN,153,,,,,,,,
040-0198-015-01,,,HUMAN,211,,,,,,,,
040-0198-016-01,,,HUMAN,506,,,,,,,,
040-0198-017-01,,,HUMAN,77,,,,,,,,
040-0198-018-01,,,HUMAN,240,,,,,,,,
040-0198-019-01,,,HUMAN,48,,,,,,,,
040-0198-020-01,,,HUMAN,236,,,,,,,,
040-0198-021-01,,,HUMAN,221,,,,,,,,
040-0199-022-01,,,HUMAN,609,,,,,,,,
040-0199-023-01,,,HUMAN,290,,,,,,,,
040-0199-024-01,,,HUMAN,500,,,,,,,,
040-0199-025-01,,,HUMAN,323,,,,,,,,
040-0199-026-01,,,HUMAN,545,,,,,,,,
040-0199-027-01,,,HUMAN,58,,,,,,,,
040-0199-028-01,,,HUMAN,117,,,,,,,,
040-0199-029-01,,,HUMAN,646,,,,,,,,
040-0199-029-02,,,HUMAN,646,,,,,,,,
040-0199-029-03,,,HUMAN,645,,,,,,,,
040-0199-029-04,,,HUMAN,645,,,,,,,,
040-0199-029-05,,,HUMAN,645,,,,,,,,
040-0199-030-01,,,HUMAN,91,,,,,,,,
040-0199-031-01,,,HUMAN,34,,,,,,,,
040-0199-048-01,,,HUMAN,346,,,,,,,,
040-0199-049-01,,,HUMAN,300,,,,,,,,
040-0200-032-01,,,HUMAN,592,,,,,,,,
040-0200-032-02,,,HUMAN,591,,,,,,,,
040-0200-032-03,,,HUMAN,591,,,,,,,,
040-0200-033-01,,,HUMAN,590,,,,,,,,
040-0200-033-02,,,HUMAN,590,,,,,,,,
040-0200-034-01,,,HUMAN,299,,,,,,,,
040-0200-035-01,,,HUMAN,497,,,,,,,,
040-0200-036-01,,,HUMAN,426,,,,,,,,
040-0200-037-01,,,HUMAN,173,,,,,,,,
040-0200-038-01,,,HUMAN,493,,,,,,,,
040-0200-045-01,,,HUMAN,62,,,,,,,,
040-0200-050-01,,,HUMAN,633,,,,,,,,
040-0200-051-01,,,HUMAN,114,,,,,,,,
040-0200-052-01,,,HUMAN,98,,,,,,,,
040-0200-053-01,,,HUMAN,280,,,,,,,,
040-0200-054-01,,,HUMAN,155,,,,,,,,
040-0200-055-01,,,HUMAN,355,,,,,,,,
040-0200-056-01,,,HUMAN,147,,,,,,,,
040-0200-057-01,,,HUMAN,82,,,,,,,,
040-0200-058-01,,,HUMAN,34,,,,,,,,
040-0200-059-01,,,HUMAN,222,,,,,,,,
040-0200-060-01,,,HUMAN,104,,,,,,,,
040-0200-061-01,,,HUMAN,630,,,,,,,,
