stream_key,reported_at,form_url,verification,registered_form,UDA,DAPK,WT,rejected,po_total_valid,total_cast_form,reviewer_a,reviewer_b,notes,ocr_confidence,ocr_route,source_sha256,source_page
201-1002-001-01,,../data/public/elections/malava-2025/forms/uploaded/d3d5ec5bcbbc9a97.pdf#page=1,HUMAN,55,2467,,5,,72,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.237; source=data/public/elections/malava-2025/forms/037201605155819153/v1_d3d5ec5bcbbc.pdf; page=1,0.2373,QUARANTINE,d3d5ec5bcbbc9a97828593de514c268d469e0232e485043220fcbb6d8aaf96f9,1
201-1002-002-01,,../data/public/elections/malava-2025/forms/uploaded/0b0710b3b1ecc90e.pdf#page=1,HUMAN,,6,8,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.175; source=data/public/elections/malava-2025/forms/037201938191449206/v1_0b0710b3b1ec.pdf; page=1,0.1747,QUARANTINE,0b0710b3b1ecc90e1eba207b9588e605f5ccb68114d2a102a271feb750d1a8d7,1
201-1002-002-02,,../data/public/elections/malava-2025/forms/uploaded/20457ab3944acb8a.pdf#page=1,HUMAN,,6,,9,,25,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.179; source=data/public/elections/malava-2025/forms/037201201593715232/v1_20457ab3944a.pdf; page=1,0.1790,QUARANTINE,20457ab3944acb8ae1dc5017b0e174afa9eb5575bff87bfb995a0c26dddb3e5e,1
201-1002-002-08,,../data/public/elections/malava-2025/forms/uploaded/955f2f82abc32459.pdf#page=1,HUMAN,1,6,8,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.409; source=data/public/elections/malava-2025/forms/037201798707222640/v1_955f2f82abc3.pdf; page=1,0.4094,QUARANTINE,955f2f82abc324592913087d980ad920f75e095c90f71fefbefd7021299ae6fa,1
201-1002-003-01,,../data/public/elections/malava-2025/forms/uploaded/7d1d824a75b8faa2.pdf#page=1,HUMAN,,6,8,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.264; source=data/public/elections/malava-2025/forms/037201128676555697/v1_7d1d824a75b8.pdf; page=1,0.2635,QUARANTINE,7d1d824a75b8faa2e7015f251ff10a0121b8a97409bd1561fd95da48fdcf8af4,1
201-1002-003-02,,../data/public/elections/malava-2025/forms/uploaded/47391e3386a2a587.pdf#page=1,HUMAN,,6,78,,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.245; source=data/public/elections/malava-2025/forms/037201207737093470/v1_47391e3386a2.pdf; page=1,0.2448,QUARANTINE,47391e3386a2a58767ae6839860c8b86b2d1957a424b7a269d8f8816fda1e919,1
201-1002-004-01,,../data/public/elections/malava-2025/forms/uploaded/4c07fb16ce0b06b4.pdf#page=1,HUMAN,,71,8,9,,8,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201857136207381/v1_4c07fb16ce0b.pdf; page=1,0.2407,QUARANTINE,4c07fb16ce0b06b40f500ef037b73eae475709f5a6f5d4ebd6c0ded492f24473,1
201-1002-004-02,,../data/public/elections/malava-2025/forms/uploaded/21e988ea6747aa49.pdf#page=1,HUMAN,,3,,,,22,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.081; source=data/public/elections/malava-2025/forms/037201948216051672/v1_21e988ea6747.pdf; page=1,0.0814,QUARANTINE,21e988ea6747aa491f6524329665049933987a1ee74c4ef00dccedbdfd2e12fa,1
201-1002-005-01,,../data/public/elections/malava-2025/forms/uploaded/1b3e03a95b7c5632.pdf#page=1,HUMAN,,7,,,2,2,4,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.210; source=data/public/elections/malava-2025/forms/037201170738293982/v1_1b3e03a95b7c.pdf; page=1,0.2101,QUARANTINE,1b3e03a95b7c563276473b0f55e982a26a6ace675200ea0ff6ea88325cffa4ec,1
201-1002-005-02,,../data/public/elections/malava-2025/forms/uploaded/8c298db70d5e18b3.pdf#page=1,HUMAN,,6,8,,2,22,24,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.259; source=data/public/elections/malava-2025/forms/037201133494041809/v1_8c298db70d5e.pdf; page=1,0.2591,QUARANTINE,8c298db70d5e18b3418adaef69d6ea980b36b9ba50d093de56e1707da987f741,1
201-1002-006-01,,../data/public/elections/malava-2025/forms/uploaded/59cf4f65e24d4247.pdf#page=1,HUMAN,2,6,8,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.172; source=data/public/elections/malava-2025/forms/037201468218457243/v1_59cf4f65e24d.pdf; page=1,0.1719,QUARANTINE,59cf4f65e24d42479bd15f472937de3a2de09dcab49263f19d09a603d26d104d,1
201-1002-006-02,,../data/public/elections/malava-2025/forms/uploaded/d47547657ae4fe25.pdf#page=1,HUMAN,65,6,8,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.409; source=data/public/elections/malava-2025/forms/037201795700810391/v1_d47547657ae4.pdf; page=1,0.4094,QUARANTINE,d47547657ae4fe25fe0401408b5b2e57a385939ee71a7d07e875c7658a1a1580,1
201-1002-006-03,,../data/public/elections/malava-2025/forms/uploaded/33ba2937225cc215.pdf#page=1,HUMAN,,2,8,,900,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/malava-2025/forms/037201831086476186/v1_33ba2937225c.pdf; page=1,0.2860,QUARANTINE,33ba2937225cc215a61e1e375948ab625b6856055b41e397832a4da206207e71,1
201-1002-007-01,,../data/public/elections/malava-2025/forms/uploaded/23f96a619cdbbfc9.pdf#page=1,HUMAN,,4,0,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201953676474805/v1_23f96a619cdb.pdf; page=1,0.2407,QUARANTINE,23f96a619cdbbfc9cb94cba6e3e4b70b0c725393e7f1c2b51c8dc17b3d68873b,1
201-1002-008-02,,../data/public/elections/malava-2025/forms/uploaded/d7d4567444c73c9a.pdf#page=1,HUMAN,,2,,7,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201065659081097/v1_d7d4567444c7.pdf; page=1,0.1605,QUARANTINE,d7d4567444c73c9ad29225e144eea18f9b8592ce54d61959ab483f4e320dbc43,1
201-1002-010-04,,../data/public/elections/malava-2025/forms/uploaded/0ecf589fa7775c51.pdf#page=1,HUMAN,,2,,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201913127172154/v1_0ecf589fa777.pdf; page=1,0.1605,QUARANTINE,0ecf589fa7775c516fa96c2d782841df546d5075ae09c2789703d2d6621e961e,1
201-1002-011-01,,../data/public/elections/malava-2025/forms/uploaded/0f33b4edb6a648d5.pdf#page=1,HUMAN,,6,,,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.080; source=data/public/elections/malava-2025/forms/037201058992738446/v1_0f33b4edb6a6.pdf; page=1,0.0802,QUARANTINE,0f33b4edb6a648d5bb34589bc4e12644aafdddc6e17c9e361d633ef26cbfd771,1
201-1002-097-01,,../data/public/elections/malava-2025/forms/uploaded/52d95854ac9da3db.pdf#page=1,HUMAN,2,7,8,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.255; source=data/public/elections/malava-2025/forms/037201352840215797/v1_52d95854ac9d.pdf; page=1,0.2550,QUARANTINE,52d95854ac9da3db221618b001015d8d498bb1b4911eb104d4e936b585d5cda9,1
201-1002-098-01,,../data/public/elections/malava-2025/forms/uploaded/0f001930bab6b4c1.pdf#page=1,HUMAN,2,6,8,9,8,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201598306780001/v1_0f001930bab6.pdf; page=1,0.2407,QUARANTINE,0f001930bab6b4c1b14aeb44c9b80b56127b696030031dbea7e9e833fd630f6e,1
201-1002-099-01,,../data/public/elections/malava-2025/forms/uploaded/9be27a44047991f8.pdf#page=1,HUMAN,,6,8,,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.176; source=data/public/elections/malava-2025/forms/037201210363847143/v1_9be27a440479.pdf; page=1,0.1762,QUARANTINE,9be27a44047991f8ab47e318a37a552cd6675737c0f75baebfe20266017e4e38,1
201-1002-100-01,,../data/public/elections/malava-2025/forms/uploaded/b6393e1d702bfefe.pdf#page=1,HUMAN,,2,2,,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.179; source=data/public/elections/malava-2025/forms/037201422083884738/v1_b6393e1d702b.pdf; page=1,0.1786,QUARANTINE,b6393e1d702bfefebb859f7ba8112ae39488271ba1bc3b3dfb7ee828a23b6c74,1
201-1003-012-01,,../data/public/elections/malava-2025/forms/uploaded/defddabab3409178.pdf#page=1,HUMAN,,6,88,55,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.166; source=data/public/elections/malava-2025/forms/037201604254727162/v1_defddabab340.pdf; page=1,0.1662,QUARANTINE,defddabab3409178a6d2130b02d23f020f89d08cd4a62c248475584381a44e40,1
201-1003-012-02,,../data/public/elections/malava-2025/forms/uploaded/e92bfcfa2b90bff8.pdf#page=1,HUMAN,1,,,,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.094; source=data/public/elections/malava-2025/forms/037201183175112476/v1_e92bfcfa2b90.pdf; page=1,0.0943,QUARANTINE,e92bfcfa2b90bff8dd6bf0e02494297a0ab577f5b9eeb3e336ddef85f25ce47a,1
201-1003-013-01,,../data/public/elections/malava-2025/forms/uploaded/219c079e7560f610.pdf#page=1,HUMAN,,16,1,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201040571003555/v1_219c079e7560.pdf; page=1,0.2407,QUARANTINE,219c079e7560f61036bb7d40ea254af514f744ad6dff156707cf22c68ddef3ad,1
201-1003-013-02,,../data/public/elections/malava-2025/forms/uploaded/c6aa1d73666fc165.pdf#page=1,HUMAN,,6,8,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201267903557642/v1_c6aa1d73666f.pdf; page=1,0.2407,QUARANTINE,c6aa1d73666fc165bcde9f6cf072f0f130b476180b7ecc38bd58a7e4892c5b3b,1
201-1003-014-01,,../data/public/elections/malava-2025/forms/uploaded/21dd0cd35da1c056.pdf#page=1,HUMAN,,6,,9,,2857,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.245; source=data/public/elections/malava-2025/forms/037201191774636941/v1_21dd0cd35da1.pdf; page=1,0.2448,QUARANTINE,21dd0cd35da1c0564d7ccc7f36cee86d3e1bd2e27af10d0aeafaf5c85c303255,1
201-1003-015-02,,../data/public/elections/malava-2025/forms/uploaded/e793688c23d6702e.pdf#page=1,HUMAN,,,,,3,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.000; source=data/public/elections/malava-2025/forms/037201244472518870/v1_e793688c23d6.pdf; page=1,0.0000,QUARANTINE,e793688c23d6702e781714c647d91634c4fd3e9a51280f2cad3447303f9b9af9,1
